t (s),acceleration (m/s^2),veh_id,position_x (m),position_y (m),vitesse (m/s)
66.1,1.4508982563987671,f_0.12,-11.978102030244514,-1.6,1.1514066915555645
66.1,0.9083898402048007,f_0.13,-19.884541175477892,-1.6,0.3816207069945065
66.1,0.2469090635619045,f_0.14,-27.487539308358436,-1.6,0.06933884502520628
66.1,0.033648393964168695,f_0.15,-35.005956475643856,-1.6,0.01107640321710659
66.1,-0.0011943076103040906,f_0.16,-42.5188170282849,-1.6,0.01169907495564312
66.1,-0.04208775341005784,f_0.17,-50.05632556646837,-1.6,0.037791348342717954
66.1,-0.08926604612564726,f_0.18,-57.666167358718155,-1.6,0.1117069207708875
66.1,-0.23988965049006716,f_0.19,-65.45645384612577,-1.6,0.2940178805664807
66.1,-0.2607964095453885,f_0.20,-73.64987034441782,-1.6,0.7048671540531575
66.1,-1.0795157878722605,f_0.21,-82.43464739455635,-1.6,1.1884834100831214
66.1,0.09319747720379912,f_0.22,-91.40830161108772,-1.6,1.4476931142005096
66.1,-1.1991066491464153,f_0.9,199.476182301832,-1.6,11.775636991432387
66.2,-0.5816729020583367,f_0.10,181.25376507859454,-1.6,11.75784052946032
66.2,2.3163363754050836,f_0.11,-3.1953822693694405,-1.6,2.709004489075559
66.2,2.231156333460773,f_0.12,-11.840649797754352,-1.6,1.3745223249016418
66.2,0.9741846483765659,f_0.13,-19.836637258294672,-1.6,0.4790391718321631
66.2,0.30064234287008645,f_0.14,-27.47759900042722,-1.6,0.09940307931221493
66.2,0.06059637411785048,f_0.15,-35.00424287158097,-1.6,0.01713604062889164
66.2,-0.0012104083566386037,f_0.16,-42.5176592248729,-1.6,0.01157803411997926
66.2,-0.030652993582795038,f_0.17,-50.052852961569926,-1.6,0.03472604898443845
66.2,-0.07590525140054247,f_0.18,-57.655755719155074,-1.6,0.10411639563083325
66.2,-0.13159800284493373,f_0.19,-65.42836803809757,-1.6,0.28085808028198733
66.2,-0.3935880136333536,f_0.20,-73.58331950914884,-1.6,0.6655083526898221
66.2,0.013218712280056444,f_0.21,-82.31566686642525,-1.6,1.189805281311127
66.2,-0.9155473523589341,f_0.22,-91.27268777319125,-1.6,1.3561383789646162
66.3,2.564192642364649,f_0.10,182.4551910579642,-1.6,12.014259793696786
